U4  Prelevamento contante < 15.000 euro                                                                                                                                  D1VA09?02?04?03?07?05?06?08?11?13?48?46?81?82         20200324U 
03  Versamento contante a mezzo sport. autom. o cassa continua (solo su conto)                                                                                           A2CA02                                                        E 
06  Accredito per incassi con addebito in c/c preautorizzato (solo su conto)                                                                                             A2PA02                                                        E 
07  Accredito per incassi con addebito in c/c non preaut. o per cassa (solo su conto)                                                                                    A2PA02                                                        E 
08  Disposizioni di incasso preautorizzato impagate (solo su conto)                                                                                                      D3EA02                                                        U 
09  Incasso tramite POS (solo su conto)                                                                                                                                  A2PA02                                                        E 
10  Emissioni assegni circolari e titoli similari, vaglia (per cassa)                                                                                                    D3AA02                                                        U 
I3  Afflusso disponibilità in contante tramite Banche o Poste Italiane SpA , IP o Imel                                                                                   A2MA03?07?05?06?08?11?13?04?48?46?81?82?49                    E 
14  Cedole, dividendi e premi estratti (per cassa)                                                                                                                       D1IA02                                                        U 
15  Rimborso finanziamenti (su conto)                                                                                                                                    D3FA02?18                                                     U 
26  Bonifico in partenza (su conto)                                                                                                                                      D1BA02                                                        U 
27  Emolumenti (per cassa)                                                                                                                                               D1PA02                                                        U 
29  Accrediti o incasso RI.BA. (su conto)                                                                                                                                A2EA02                                                        E 
30  Accrediti o incasso effetti al S.B.F. (su conto)                                                                                                                     A2EA02                                                        E 
31  Effetti ritirati (su conto)                                                                                                                                          D3PA02                                                        U 
32  Effetti richiamati (su conto)                                                                                                                                        D3EA02                                                        U 
37  Insoluti RI.BA. (su conto)                                                                                                                                           D3EA02                                                        U 
39  Disposizione per emolumenti (solo su conto)                                                                                                                          D3PA02                                                        U 
42  Effetti insoluti o protestati (solo su conto)                                                                                                                        D3EA02                                                        U 
43  Pagamento tramite POS (solo su conto)                                                                                                                                D3PA02                                                20060422U 
44  Addebito o pagamento per utilizzo credito documentario su estero (su conto)                                                                                          D3DA02                                                        U 
45  Pagamento per utilizzo carte di credito (solo su conto)                                                                                                              D3PA02                                                        U 
46  Incasso di mandato di pagamento (per cassa)                                                                                                                          D1PA02                                                        U 
47  Accredito o incasso per utilizzo credito doc. su Italia (su conto)                                                                                                   A2DA02                                                        E 
48  Bonifico in arrivo (su conto)                                                                                                                                        A2BA02                                                        E 
50  Pagamenti diversi (su conto)                                                                                                                                         D3PA02                                                        U 
51  Emissioni assegni turistici (per cassa)                                                                                                                              D3AA02                                                        U 
52  Prelevamento con moduli di sportello (solo su conto)                                                                                                                 D1CA02                                                        U 
53  Addebito per utilizzo credito documentario su Italia (su conto)                                                                                                      D3DA02                                                        U 
55  Assegni bancari insoluti o protestati  (solo su conto)                                                                                                               D3EA02                                                        U 
56  Ricavo effetti o assegni in euro e/o valuta estera al dopo incasso (su conto)                                                                                        A2EA02                                                        E 
57  Restituzione di assegni o vaglia irregolari (solo su conto)                                                                                                          D3EA02                                                        U 
58  Esecuzioni di riversali (per cassa)                                                                                                                                  A4PA02?01                                                     E 
64  Accrediti o incasso effetti presentati allo sconto (su conto)                                                                                                        A2EA02                                                        E 
72  Accredito o incasso per utilizzo credito documentario da estero (su conto)                                                                                           A2DA02                                                        E 
74  Pagamento Canone Leasing (su conto)                                                                                                                                  D3FA02                                                        U 
A2  Incasso proprio assegno tratto sullo stesso intermediario  (per cassa)                                                                                               D4CA02                                                        U 
A7  Erogazione finanziamenti diversi e prestiti personali (per cassa)                                                                                                    D1FA02                                                        U 
AA  Bonifico dall'estero (su conto)                                                                                                                                      A2BA02                                                        E 
U1  Trasferimento di denaro contante e titoli al port. ex. art. 49 Dlgs. 231/2007  (Cedente) (solo per cassa)                                                            A4XA02?04?46?81?82                                            E 
U3  Versamento contante < 15.000 euro                                                                                                                                    A2VA02?04?03?07?05?06?08?11?13?48?46?81?82            20200324E 
AA  Bonifico per l'estero (su conto)                                                                                                                                     D1BA02?15                                                     U 
U1  Trasferimento di denaro contante e titoli al port.ex. art. 49 Dlgs. 231/2007  (Ricevente) (solo per cassa)                                                           D3XA02?04?46?81?82                                            U 
I1  Afflusso disponibilità per mezzo titoli di credito, assegni, e contante                                                                                              A2MA09?03?07?05?06?08?11?13?04?48?46?81?82?49                 E 
14  Cedole, dividendi e premi estratti (su conto)                                                                                                                        A2IA02                                                        E 
15  Rimborso finanziamenti (per cassa)                                                                                                                                   A4FA02                                                        E 
27  Emolumenti                                                                                                                                                           D95A02                                                20060422U 
31  Effetti ritirati  (per cassa)                                                                                                                                        A4PA02                                                        E 
45  Pagamento per utilizzo carte di credito (per cassa)                                                                                                                  A4PA02?11?13                                                  E 
50  Pagamenti diversi (per cassa)                                                                                                                                        A4PA02                                                        E 
56  Ricavo effetti o assegni in euro e/o valuta estera al dopo incasso (per cassa)                                                                                       D1EA02                                                        U 
58  Esecuzioni di riversali                                                                                                                                              D95A02                                                20201231U 
74  Pagamento Canone Leasing (per cassa)                                                                                                                                 A4FA02                                                        E 
A7  Erogazione finanziamenti diversi e prestiti personali (su conto)                                                                                                     A2FA02?18                                                     E 
29  Accrediti o incasso RI.BA (per cassa)                                                                                                                                D1EA02                                                        U 
4   Accrediti o incasso effetti al S.B.F. (per cassa)                                                                                                                    D1EA02                                                20201231U 
