U4  1VD09?02?04?03?07?05?06?08?11?13 
03  2CA02                            
06  2PA02                            
07  2PA02                            
08  3ED02                            
09  2PA02                            
10  3AD02                            
I3  2MA09?03?07?05?06?08?11?13?04    
14  1ID02                            
15  3FD02?16?18                      
26  1BD02                            
27  1PD02                            
29  2EA02                            
30  2EA02                            
31  3PD02                            
32  3ED02                            
37  3ED02                            
39  3PD02                            
42  3ED02                            
43  3PD02                            
44  3DD02                            
45  3PD02                            
46  1PD02                            
47  2DA02                            
48  2BA02                            
50  3PD02                            
51  3AD02                            
52  1CD02                            
53  3DD02                            
55  3ED02                            
56  2EA02                            
57  3ED02                            
58  4PA02?01                         
64  2EA02                            
72  2DA02                            
74  3FD02                            
A2  4CD02                            
A7  1FD02                            
AA  2BA02                            
U1  4XA02?04                         
U3  2VA02?09?04?03?07?05?06?08?11?13 
AA  1BD02?15                         
U1  3XD02?04                         
I1  2MA09?03?07?05?06?08?11?13?04    
14  2IA02                            
15  4FA02                            
27  95D02                            
31  4PA02                            
45  4PA02?11?13                      
50  4PA02?01                         
56  1ED02                            
58  95D02                            
74  4FA02                            
A7  2FA02?16?18                      
29  1ED02                            
30  1ED02                            
32  4EA02                            
37  4EA02                            
44  4DA02                            
47  1DD02                            
53  4DA02                            
64  1ED02                            
BA  1ID02                            
BA  2IA02                            
BB  4IA02                            
BB  3ID02                            
72  1DD02                            
BE  4IA02                            
BE  3ID02                            
BF  1ID02                            
BF  2IA02                            
BI  2FA02                            
BI  1FD02                            
BL  3FD02                            
BL  4FA02                            
BM  2FA02                            
BM  1FD02                            
BN  3FD02                            
BN  4FA02                            
BP  2DA02                            
BP  1DD02                            
BQ  3DD02                            
BQ  4DA02                            
BR  1TD02                            
BS  2TA02                            
BT  1LD02                            
BU  2LA02                            
BV  2IA02                            
BV  1ID02                            
BZ  3ID02                            
BZ  4IA02                            
C1  3TD02?03?07?05?08                
C2  4TA02?03?07?05?08                
C3  6TA02?03?07?05                   
C4  5TD02?03?07?05                   
C7  0TA02                            
C8  9TD02                            
AF  5MD04                            
AF  6MA04                            
C9  3OD02                            
C9  4OA02                            
C0  2OA02                            
C0  1OD02                            
24  1DD02                            
24  2DA02                            
D1  2CA02                            
D6  5ID02                            
D6  6IA02                            
D7  8IA02                            
D7  7ID02                            
D8  2IA02                            
D8  1ID02                            
D9  3ID02                            
D9  4IA02                            
DB  6OA02?17                         
DC  7OD02?11?13?17                   
F1  5CD02                            
F2  6CD02                            
F3  3CD02                            
F4  4CD02                            
G1  2AA02                            
G2  4AA02                            
G3  2AA02                            
G4  4AA02                            
G5  6AA02                            
G7  8AA02                            
G8  0AA02                            
59    A02                            
59  3PD02                            
25  4DA02                            
25  3DD02                            
S1  3TD02?03?07?05                   
S2  4TA02?03?07?05                   
DG  DGA02                            
48  4MA09?03?07?05?06?11?13?04?15    
AA  4MA09?03?07?05?06?08?11?13?04    
L1    A15                            
I2  1MD09?03?07?05?06?08?11?13?04    
26  3MD09?03?07?05?06?11?13?04?15    
AA  3MD09?03?07?05?06                
D9  2SA09                            
D8  1SD09                            
I5  0SA09?06?11?13                   
I6  9SD09?06?11?13                   
13  1AD02                            
48  4MA08                            
26  3MD08                            
AA  3MD08?11?13?04                   
C3  56A08                            
C4  57D08                            
L2    D15                            
L3    A15                            
59    D01                            
33  3AD02                            
AF  4BA02                            
AF  3BD02                            
BJ  4IA02                            
BJ  3ID02                            
BK  2IA02                            
BK  1ID02                            
BG  1ID02                            
BG  2IA02                            
BH  4IA02                            
BH  3ID02                            
C5  8TA02                            
C6  7TD02                            
U2  2XA02                            
U2  1XD02                            
P9  2SA09                            
AF  6MA03?07?05                      
AF  5MD03?07?05                      
I5  0SA03?07?05?08?04                
I6  9SD03?07?05?08?04                
AF  6MA08                            
AF  5MD08                            
I7  4MA04                            
DO  8SD04                            
10  5AD02                            
33  5AD02                            
51  5AD02                            
26  5BD02                            
AA  5BD02?15                         
48  6BA02                            
AA  6BA02                            
27  2PA02                            
46  2PA02                            
DB  8OA02?11?13?17                   
14  1SD03?07?05?11?13?08             
BA  1SD03?07?05?08?11?13             
BB  2SA03?07?05?08?11?13             
BE  2SA03?07?05?08?11?13             
BF  1SD03?07?05?08?11?13             
BJ  2SA03?07?05                      
BK  1SD03?07?05                      
D6  3SD03?07?05?08?11?13             
D7  4SA03?07?05?08?11?13             
15  6SA11?13                         
74  6SA11?13                         
A7  5SD11?13                         
